testset,testset_OG,data,quartet,p1,p2,p3,p4,nsites,nsites_abba,nsites_baba,nloci,nloci_abba,nloci_baba,D,bootSD,zscore
BLDO,BLDA,HH6,ga1ma18di1ge1,Aga001,Ama018,Adi001,Age001,521921,491,406,323,102,87,0.0947603121516165,0.0764801432112794,1.23901849777971
BLDO,BLDA,HH6,ga1ma18di2ge1,Aga001,Ama018,Adi002,Age001,523371,520,435,321,111,80,0.0890052356020942,0.0797047355786933,1.11668691898762
BLDO,BLDA,HH6,ga1ma18di3ge1,Aga001,Ama018,Adi003,Age001,524055,506,384,324,107,89,0.137078651685393,0.0774527009580177,1.76983694551459
BLDO,BLDA,HH6,ga1ma6di1ge1,Aga001,Ama006,Adi001,Age001,521130,515,382,321,94,87,0.148272017837235,0.085572957078724,1.73269713819554
BLDO,BLDA,HH6,ga1ma6di2ge1,Aga001,Ama006,Adi002,Age001,522520,560,377,319,108,82,0.195304162219851,0.0776115408913844,2.5164319632975
BLDO,BLDA,HH6,ga1ma6di3ge1,Aga001,Ama006,Adi003,Age001,523381,528,373,322,100,90,0.172031076581576,0.0883410039408531,1.94735251929847
BLDO,BLDA,HH6,ga1pe1di1ge1,Aga001,Ape001,Adi001,Age001,520451,437,366,324,97,76,0.0884184308841843,0.0697020362730544,1.26852005496381
BLDO,BLDA,HH6,ga1pe1di2ge1,Aga001,Ape001,Adi002,Age001,521851,500,393,322,105,71,0.119820828667413,0.0707293188259563,1.69407581829335
BLDO,BLDA,HH6,ga1pe1di3ge1,Aga001,Ape001,Adi003,Age001,522785,466,363,325,101,77,0.124246079613993,0.0758572824622918,1.63789257380469
BLDO,BLDA,HH6,ga1pe9di1ge1,Aga001,Ape009,Adi001,Age001,521282,570,354,322,100,76,0.233766233766234,0.0874724036668601,2.67245695747125
BLDO,BLDA,HH6,ga1pe9di2ge1,Aga001,Ape009,Adi002,Age001,522546,593,359,320,104,73,0.245798319327731,0.0845066115765205,2.90862826874985
BLDO,BLDA,HH6,ga1pe9di3ge1,Aga001,Ape009,Adi003,Age001,523433,567,349,323,106,78,0.237991266375546,0.0869503937814255,2.73709245036664
BLDO,BLDA,HH6,ga1za135di1ge1,Aga001,Aza135,Adi001,Age001,517043,405,332,318,94,77,0.0990502035278155,0.0813903615723468,1.21697706723874
BLDO,BLDA,HH6,ga1za135di2ge1,Aga001,Aza135,Adi002,Age001,518278,423,330,316,109,69,0.123505976095618,0.0763311609502721,1.61802826732949
BLDO,BLDA,HH6,ga1za135di3ge1,Aga001,Aza135,Adi003,Age001,519128,391,347,319,103,77,0.0596205962059621,0.080909056474278,0.736884086949107
BLDO,BLDA,HH6,ga1za37di1ge1,Aga001,Aza037,Adi001,Age001,520818,557,383,322,102,83,0.185106382978723,0.0774689761340846,2.38942596399284
BLDO,BLDA,HH6,ga1za37di2ge1,Aga001,Aza037,Adi002,Age001,522163,640,403,320,106,76,0.227229146692234,0.0737791806467571,3.07985457008761
