species,accession,pollination,flowercolor
A. digitata,Adi001,mammal,white
A. digitata,Adi002,mammal,white
A. digitata,Adi003,mammal,white
A. gregorii,Age001,hawkmoth,white
A. rubrostipa,Aru127,hawkmoth,yellow
A. rubrostipa,Aru001,hawkmoth,yellow
A. za,Aza037,hawkmoth,yellow
A. za,Aza135,hawkmoth,yellow
A. madagascariensis,Ama006,hawkmoth,red
A. madagascariensis,Ama018,hawkmoth,red
A. perrieri,Ape001,hawkmoth,yellow
A. perrieri,Ape009,hawkmoth,yellow
A. suarezensis,Asu001,mammal,white
A. grandidieri,Aga002,mammal,white
A. grandidieri,Aga001,mammal,white
Bombax ceiba,Bce020,,
Pseudobombax crozatii,Pcr070,,
Scleronema micrantha,Smi165,,white
